k,TB,TB_err,TS,TS_err
1,0.946240400071441,0.003014479329459,87.7121807465619,0.203295213052704
2,0.935774831558357,0.002651275044867,87.2033797000652,0.184018205560179
3,0.936499872999746,0.002461664677858,87.1876640419947,0.17727770597983
4,0.934141037589313,0.002541566151655,87.0980506368437,0.183277210099784
5,0.93271954674221,0.002490719626943,87.0304532577904,0.181966796983144
6,0.931057563587684,0.002538670680713,86.9497991967872,0.187490574865157
7,0.928470683054604,0.00265146145133,86.8235610182014,0.196836092733919
8,0.927808544303797,0.002719491403979,86.84375,0.203222365043503
9,0.927207559465624,0.002723236097215,86.8583251873574,0.205680309899845
10,0.928931245745405,0.002822558738928,87.0095302927161,0.217134814863258
11,0.926780957584864,0.002912207039162,86.963014821392,0.223961362382173
12,0.923622704507512,0.003111863671379,86.7553909293267,0.239208401753293
13,0.924304803178043,0.003198145119102,86.8024557602022,0.246215738902005
14,0.921458520515124,0.003270094795008,86.5949011680144,0.253478977156825
15,0.920789779326365,0.003413726947353,86.6059620596206,0.26421429629676
16,0.919429708222812,0.003665597146441,86.517324270557,0.28019646339979
17,0.919491163664305,0.003778957012207,86.5161786049688,0.290979574850056
18,0.920320478957563,0.003831692692643,86.5374625814404,0.294625738078062
19,0.920099160945843,0.004023878074751,86.5032418001526,0.315226015314502
