k,First_CF,Second_CF,Third_CF,First_CF_err,Second_CF_err,Third_CF_err,First_D,Second_D,Third_D,First_D_err,Second_D_err,Third_D_err
0,-0.5794876291645752,-0.17358262596613871,0.18561589776700047,0.1515480089118616,0.331247540256508,0.6270798242460521,0.054648193813085805,2.461639118742481,2.622078632166335,0.14709654941621586,0.3843742170685828,0.7091505273909142
1,-0.629186018088487,1.873508353221957,2.9320388349514563,0.2978560753388727,1.0635511242237914,1.7859074651813376,0.9084575898313371,4.0966587112171835,5.868932038834951,0.2739057634381903,1.0020329546226383,2.0064497321283667
2,-0.6240137221269296,0.7174479166666666,4.042079207920792,0.2514028396854091,0.8265833078232788,1.4948553247446588,1.3293310463121784,4.654947916666667,6.099009900990099,0.24024215673251537,0.8793351617191537,1.6207621022769618
3,-0.800077160493827,0.6199813258636787,1.7033333333333334,0.24577731182181023,0.7615866418045272,1.4388753948121205,1.2459104938271606,5.273576097105509,4.006666666666666,0.2444701641979579,0.791268575625455,1.3801826519115092
4,-0.7530769230769231,-0.14786585365853658,1.0671052631578948,0.25326013531688973,0.6571791962844714,1.266709164924903,1.4323076923076923,4.793064024390244,3.530263157894737,0.2543422565327798,0.7056559357857229,1.2928702808453225
5,-1.0109923664122138,-0.5526666666666668,1.4571428571428573,0.24019906441235417,0.6093603557064176,1.2948448013102585,1.398320610687023,3.793,4.907692307692308,0.25628743178201646,0.6761023065143503,1.1835680319997444
6,-0.7966666666666666,-0.8769696969696971,0.6306818181818182,0.24620278016078054,0.5850357970543617,1.2236021651975377,1.6081746031746034,3.351212121212121,4.350378787878788,0.2730405561627393,0.6358252833880987,1.1694499558878404
7,-1.0033895502645502,-0.8703296703296706,0.07659208261617904,0.24340033460736887,0.5905053925460588,1.3135771735734316,1.3798776455026456,3.5678571428571426,4.013769363166953,0.26932286657759386,0.6498014031653357,1.2640844490660823
8,-1.2017762284196547,-1.119815668202765,0.20993589743589744,0.24597886086939258,0.6072805321924699,1.2253962733893111,1.394671314741036,3.100806451612903,4.537660256410256,0.2672121825942714,0.6886375247599953,1.1453982726929721
9,-1.0854564755838643,-1.2857142857142858,0.23646723646723636,0.23994809937261125,0.5420728505123515,1.091540769086551,1.463729653220099,3.0965181771633383,4.237891737891737,0.26870158280063705,0.6243762165247134,1.1058157650821812
10,-0.8067150635208713,-1.7430481283422463,-0.5677631578947369,0.24429234513248985,0.5579373511608033,1.0146128394559766,1.6422867513611616,3.158823529411765,3.967763157894738,0.27322198814357074,0.6281050279113598,1.0457003461742371
11,-0.6075503993914037,-1.5247444862829478,-0.9957575757575758,0.23638377611936917,0.5578116842228925,0.9267443104764505,1.7267972613160898,2.976600322754169,3.8721212121212125,0.27053900816142096,0.6364350017559631,1.0413041903767768
12,-0.5526315789473684,-1.6706989247311828,-0.4735915492957746,0.2449287174774306,0.5518098159310983,0.9209620717191048,1.8568580542264752,3.2524193548387097,3.855046948356809,0.27998002006911,0.6611592658191799,1.0639280749996434
